zone_rank,cluster_id,accident_count,avg_severity,max_severity,center_lat,center_lng,lat_min,lat_max,lng_min,lng_max
240,430,34,2.0,2,30.365053915882353,-97.70104063411765,30.36449600000001,30.365501,-97.702129,-97.699883
241,817,34,2.0,2,30.199206117647055,-97.7943995882353,30.197816999999997,30.199449,-97.795876,-97.793234
242,321,33,2.061,3,30.402480333333337,-97.67922142424243,30.401609000000004,30.404325,-97.680629,-97.678629
243,374,33,2.0,2,30.352319035736787,-97.64733899695956,30.3517,30.353756,-97.650749,-97.646033
244,25,33,1.97,2,30.36941851515152,-97.801886,30.368405,30.370038,-97.801994,-97.80109
245,697,33,1.97,2,30.374844787878786,-97.72011409090909,30.372852,30.375289,-97.721693,-97.719665
246,835,33,1.97,2,30.143950333333333,-97.80591112121213,30.143278,30.144581,-97.80851,-97.803368
247,893,33,1.97,2,30.398181878787877,-97.84980763636364,30.39562,30.400828000000004,-97.851656,-97.847099
248,90,33,1.939,2,30.186725731947263,-97.85502970872747,30.186658,30.18677115425975,-97.855121,-97.8549563880069
249,133,32,2.125,4,30.304402250000003,-97.84123146875001,30.304359,30.304794,-97.841624,-97.841187
250,159,32,2.031,3,30.3371430625,-97.67554671875,30.335990999999996,30.33856500000001,-97.677356,-97.673477
251,142,32,2.0,2,30.10704234375,-97.69460640625,30.105174,30.1075,-97.694949,-97.69322
252,259,32,2.0,2,30.23016896875,-97.7260816875,30.229666,30.2313,-97.726719,-97.725313
253,385,32,2.0,2,30.3770025625,-97.8054509375,30.374514,30.378649,-97.806274,-97.804642
254,452,32,2.0,2,30.2828741875,-97.77623865625,30.28088,30.284124,-97.77681,-97.774361
255,454,32,2.0,2,30.16417621875,-97.83014075,30.163447,30.165071,-97.830872,-97.829987
256,742,32,2.0,2,30.193779156250002,-97.74969053125,30.192711,30.195290000000004,-97.7509,-97.747559
257,834,32,2.0,2,30.2316265625,-97.77744753125,30.229964,30.2346,-97.779586,-97.776228
258,377,32,1.969,2,30.416658750000003,-97.84742225000001,30.416104,30.416823,-97.847703,-97.847339
259,462,32,1.969,2,30.365751999999997,-97.79757471875,30.364997999999996,30.366507,-97.799751,-97.796924
260,160,31,2.0,2,30.20036874193548,-97.79877022580645,30.199598,30.20093,-97.800262,-97.797839
261,349,31,2.0,2,30.276125096774194,-97.70519961290321,30.274988,30.277565000000006,-97.708611,-97.702324
262,352,31,2.0,2,30.26352,-97.81659283870968,30.261337,30.264090000000003,-97.816902,-97.815063
263,464,31,2.0,2,30.209488258064518,-97.74587106451612,30.20850900000001,30.210196000000003,-97.747355,-97.74382
